1;1;ASCENDING;0;0
3;6;ASCENDING;0;1
5;1;DESCENDING;1;1
7;-4;DESCENDING;1;0
8;1;ASCENDING;2;0
9;6;ASCENDING;2;1
10;1;DESCENDING;3;0
